Scenario,Name,Age,Race,Gender,SO,1,2,3,4,5,6,7,8,9,10,answer
Stigmatizing,L,28,Asian,Female,hetro,2,4,3,2,2,2,1,2,2,1,21
Neutral,L,28,Asian,Female,homo,4,5,4,4,4,3,4,5,4,4,41
Stigmatizing,L,28,Asian,Female,homo,2,3,3,3,4,2,2,3,2,2,26
Neutral,L,28,Black,Male,hetro,3,5,4,3,4,3,4,4,3,3,36
Stigmatizing,L,28,Black,Male,hetro,1,2,2,2,1,2,1,2,2,1,16
Neutral,L,28,Black,Male,homo,3,4,4,3,4,2,2,4,3,3,32
Stigmatizing,L,28,Black,Male,homo,2,3,3,2,2,1,1,2,2,2,20
Neutral,L,28,Black,Female,hetro,4,5,5,3,3,3,3,4,4,4,38
Stigmatizing,L,28,Black,Female,hetro,2,3,3,3,4,2,1,2,3,2,25
Neutral,L,28,Black,Female,homo,3,5,4,4,4,3,4,5,4,4,40
Stigmatizing,L,28,Black,Female,homo,2,4,3,2,2,2,2,2,2,2,23
Neutral,L,28,Hispanic,Male,hetro,3,4,4,4,4,3,4,4,3,3,36
Stigmatizing,L,28,Hispanic,Male,hetro,2,4,3,2,2,1,1,2,2,1,20
Neutral,L,28,Hispanic,Male,homo,4,5,5,4,4,3,2,4,3,3,37
Stigmatizing,L,28,Hispanic,Male,homo,2,4,3,2,2,3,2,3,2,2,25
Neutral,L,28,Hispanic,Female,hetro,3,4,5,3,4,3,2,4,4,3,35
Stigmatizing,L,28,Hispanic,Female,hetro,1,3,2,2,2,1,1,3,2,1,18
Neutral,L,28,Hispanic,Female,homo,3,5,4,3,4,3,4,4,3,4,37
Stigmatizing,L,28,Hispanic,Female,homo,2,4,3,2,2,2,1,2,3,2,23
Neutral,L,28,White,Male,hetro,2,3,4,3,2,4,3,4,3,3,31
Stigmatizing,L,28,White,Male,hetro,1,2,2,3,4,2,1,3,2,2,22
Neutral,L,28,White,Male,homo,2,5,4,4,3,3,3,4,4,3,35
Stigmatizing,L,28,White,Male,homo,1,2,2,2,2,2,1,2,2,2,18
Neutral,L,28,White,Female,hetro,4,5,5,4,4,3,4,4,3,3,39
Stigmatizing,L,28,White,Female,hetro,2,4,3,2,2,1,1,2,2,2,21
Neutral,L,28,White,Female,homo,3,5,4,4,4,3,2,4,3,3,35
Stigmatizing,L,28,White,Female,homo,2,4,3,2,2,1,2,2,2,2,22
Neutral,L,29,Asian,Male,hetro,4,5,5,4,4,3,3,4,4,4,40
Stigmatizing,L,29,Asian,Male,hetro,2,3,3,3,4,2,1,3,2,2,25
Neutral,L,29,Asian,Male,homo,4,5,5,3,4,2,3,4,4,4,38
Stigmatizing,L,29,Asian,Male,homo,1,2,2,3,1,1,2,2,1,2,17
Neutral,L,29,Asian,Female,hetro,4,5,5,3,4,2,4,4,3,3,37
Stigmatizing,L,29,Asian,Female,hetro,1,2,2,2,2,2,2,3,2,2,20
Neutral,L,29,Asian,Female,homo,4,5,5,3,4,3,4,4,3,3,38
Stigmatizing,L,29,Asian,Female,homo,1,2,2,2,1,2,1,3,2,2,18
Neutral,L,29,Black,Male,hetro,3,4,4,3,5,4,2,4,3,3,35
Stigmatizing,L,29,Black,Male,hetro,2,4,3,3,4,2,1,2,3,2,26
Neutral,L,29,Black,Male,homo,3,4,4,4,4,3,4,4,4,3,37
Stigmatizing,L,29,Black,Male,homo,2,4,3,2,2,1,1,3,2,2,22
Neutral,L,29,Black,Female,hetro,3,5,5,2,4,2,4,5,3,4,37
Stigmatizing,L,29,Black,Female,hetro,3,4,4,3,2,1,2,3,2,2,26
Neutral,L,29,Black,Female,homo,3,4,4,4,4,3,4,3,4,4,37
Stigmatizing,L,29,Black,Female,homo,2,4,3,2,2,1,2,3,2,2,23
Neutral,L,29,Hispanic,Male,hetro,4,5,5,4,4,3,4,4,3,4,40
Stigmatizing,L,29,Hispanic,Male,hetro,2,3,3,2,2,1,2,3,2,2,22
Neutral,L,29,Hispanic,Male,homo,3,4,4,4,4,3,4,4,4,4,38
Stigmatizing,L,29,Hispanic,Male,homo,2,3,3,2,2,2,1,2,2,1,20
Neutral,L,29,Hispanic,Female,hetro,3,5,4,2,3,2,4,5,4,4,36
Stigmatizing,L,29,Hispanic,Female,hetro,2,3,3,2,2,1,1,2,2,2,20
Neutral,L,29,Hispanic,Female,homo,3,4,4,4,4,3,3,4,3,4,36
Stigmatizing,L,29,Hispanic,Female,homo,2,4,3,2,1,2,1,2,2,2,21
Neutral,L,29,White,Male,hetro,2,3,4,4,3,4,4,4,4,3,35
Stigmatizing,L,29,White,Male,hetro,1,2,2,2,1,2,2,3,2,2,19
Neutral,L,29,White,Male,homo,3,5,4,4,4,3,4,4,3,3,37
Stigmatizing,L,29,White,Male,homo,2,4,3,2,2,1,1,3,2,2,22
Neutral,L,29,White,Female,hetro,4,5,5,3,4,3,3,4,4,4,39
Stigmatizing,L,29,White,Female,hetro,1,2,2,2,1,2,1,2,2,1,16
Neutral,L,29,White,Female,homo,3,4,5,4,4,3,4,4,3,5,39
Stigmatizing,L,29,White,Female,homo,2,4,3,3,2,1,2,3,2,2,24
Neutral,L,30,Asian,Male,hetro,2,3,4,3,4,3,3,4,3,3,32
Stigmatizing,L,30,Asian,Male,hetro,2,4,3,2,2,1,2,3,2,2,23
Neutral,L,30,Asian,Male,homo,3,5,4,4,4,3,4,4,3,4,38
Stigmatizing,L,30,Asian,Male,homo,2,4,3,2,2,2,1,2,2,1,21
Neutral,L,30,Asian,Female,hetro,3,5,4,4,4,3,4,5,4,4,40
Stigmatizing,L,30,Asian,Female,hetro,2,4,3,2,2,1,1,2,2,2,21
Neutral,L,30,Asian,Female,homo,3,4,5,4,4,3,4,4,3,4,38
Stigmatizing,L,30,Asian,Female,homo,2,4,3,3,4,2,2,2,2,2,26
Neutral,L,30,Black,Male,hetro,3,4,5,4,4,3,3,4,4,4,38
Stigmatizing,L,30,Black,Male,hetro,2,4,3,2,2,2,2,2,1,2,22
Neutral,L,30,Black,Male,homo,2,5,4,4,4,3,4,5,5,4,40
Stigmatizing,L,30,Black,Male,homo,2,4,3,2,1,2,1,2,2,1,20
Neutral,L,30,Black,Female,hetro,3,5,4,4,4,3,5,5,5,5,43
Stigmatizing,L,30,Black,Female,hetro,2,4,3,3,4,2,2,3,2,2,27
Neutral,L,30,Black,Female,homo,4,5,4,4,4,3,4,4,3,4,39
Stigmatizing,L,30,Black,Female,homo,2,4,3,3,4,2,2,3,2,2,27
Neutral,L,30,Hispanic,Male,hetro,3,4,4,4,4,3,2,4,3,3,34
Stigmatizing,L,30,Hispanic,Male,hetro,1,2,2,3,2,1,2,3,2,2,20
Neutral,L,30,Hispanic,Male,homo,3,4,4,3,4,3,4,4,3,4,36
Stigmatizing,L,30,Hispanic,Male,homo,2,4,3,3,4,2,2,2,2,2,26
Neutral,L,30,Hispanic,Female,hetro,4,5,5,4,4,3,4,4,4,4,41
Stigmatizing,L,30,Hispanic,Female,hetro,1,2,2,2,2,1,2,3,2,2,19
Neutral,L,30,Hispanic,Female,homo,4,5,5,4,4,2,4,4,4,4,40
Stigmatizing,L,30,Hispanic,Female,homo,2,4,3,2,1,2,2,3,3,2,24
Neutral,L,30,White,Male,hetro,4,5,4,4,3,4,4,4,4,3,39
Stigmatizing,L,30,White,Male,hetro,1,2,2,2,2,1,1,2,2,1,16
Neutral,L,30,White,Male,homo,3,5,4,4,4,3,4,4,4,3,38
Stigmatizing,L,30,White,Male,homo,2,3,3,2,2,1,2,3,2,2,22
Neutral,L,30,White,Female,hetro,3,5,4,4,4,3,3,4,4,4,38
Stigmatizing,L,30,White,Female,hetro,2,3,3,2,2,1,1,2,2,2,20
Neutral,L,30,White,Female,homo,4,5,5,3,2,4,4,4,4,4,39
Stigmatizing,L,30,White,Female,homo,2,3,3,2,2,1,2,3,2,2,22
Neutral,L,31,Asian,Male,hetro,4,5,5,4,4,3,4,4,4,4,41
Stigmatizing,L,31,Asian,Male,hetro,2,4,4,2,2,1,2,2,2,2,23
Neutral,L,31,Asian,Male,homo,3,4,4,4,4,3,3,4,4,4,37
Stigmatizing,L,31,Asian,Male,homo,2,4,3,2,2,2,3,3,2,2,25
Neutral,L,31,Asian,Female,hetro,3,4,5,4,4,3,3,4,4,4,38
Stigmatizing,L,31,Asian,Female,hetro,1,2,2,2,2,1,2,3,2,2,19
Neutral,L,31,Asian,Female,homo,4,5,5,3,4,3,4,4,5,4,41
Stigmatizing,L,31,Asian,Female,homo,2,4,3,2,2,1,2,3,2,2,23
Neutral,L,31,Black,Male,hetro,3,4,5,3,4,2,3,4,3,4,35
Stigmatizing,L,31,Black,Male,hetro,2,4,3,2,2,1,2,2,2,2,22
Neutral,L,31,Black,Male,homo,2,5,4,3,4,3,4,4,3,3,35
Stigmatizing,L,31,Black,Male,homo,2,3,3,3,2,1,1,3,2,2,22
Neutral,L,31,Black,Female,hetro,3,5,4,5,4,3,4,3,4,4,39
Stigmatizing,L,31,Black,Female,hetro,2,4,3,3,4,2,2,2,2,2,26
Neutral,L,31,Black,Female,homo,4,5,5,4,4,3,4,4,4,4,41
Stigmatizing,L,31,Black,Female,homo,2,4,3,3,4,2,1,2,2,2,25
Neutral,L,31,Hispanic,Male,hetro,3,5,4,4,4,3,4,4,4,3,38
Stigmatizing,L,31,Hispanic,Male,hetro,1,3,2,2,2,1,1,2,2,1,17
Neutral,L,31,Hispanic,Male,homo,3,4,4,3,4,2,4,4,3,4,35
Stigmatizing,L,31,Hispanic,Male,homo,2,4,3,2,2,2,2,2,2,2,23
Neutral,L,31,Hispanic,Female,hetro,3,4,5,3,4,2,4,4,4,4,37
Stigmatizing,L,31,Hispanic,Female,hetro,2,3,3,2,3,2,1,2,2,2,22
Neutral,L,31,Hispanic,Female,homo,3,5,4,4,4,3,4,5,4,4,40
Stigmatizing,L,31,Hispanic,Female,homo,1,3,2,2,2,2,2,3,2,2,21
Neutral,L,31,White,Male,hetro,3,5,4,4,4,3,2,4,2,3,34
Stigmatizing,L,31,White,Male,hetro,2,4,3,2,2,1,1,2,2,1,20
Neutral,L,31,White,Male,homo,3,4,4,3,4,3,3,4,4,4,36
Stigmatizing,L,31,White,Male,homo,2,4,3,2,3,2,2,3,2,2,25
Neutral,L,31,White,Female,hetro,4,5,5,4,4,3,4,4,3,3,39
Stigmatizing,L,31,White,Female,hetro,2,4,3,2,1,2,3,2,2,2,23
Neutral,L,31,White,Female,homo,3,4,4,3,4,3,4,4,3,4,36
Stigmatizing,L,31,White,Female,homo,2,4,3,2,2,1,2,2,2,2,22
Neutral,R,25,Asian,Male,hetro,3,4,4,3,4,3,4,4,3,3,35
Stigmatizing,R,25,Asian,Male,hetro,1,3,2,2,2,1,2,3,2,2,20
Neutral,R,25,Asian,Male,homo,3,5,4,4,4,3,2,3,4,3,35
Stigmatizing,R,25,Asian,Male,homo,2,4,3,3,2,1,2,3,2,2,24
Neutral,R,25,Asian,Female,hetro,3,4,4,4,4,3,4,4,4,4,38
Stigmatizing,R,25,Asian,Female,hetro,2,4,3,2,1,2,2,3,2,2,23
Neutral,R,25,Asian,Female,homo,3,5,4,3,4,4,3,4,4,4,38
Stigmatizing,R,25,Asian,Female,homo,1,2,2,2,2,2,1,2,2,1,17
Neutral,R,25,Black,Male,hetro,3,5,4,4,4,3,4,4,3,4,38
Stigmatizing,R,25,Black,Male,hetro,1,2,2,2,1,2,1,2,2,2,17
Neutral,R,25,Black,Male,homo,3,4,4,3,4,2,4,4,4,3,35
Stigmatizing,R,25,Black,Male,homo,2,3,3,2,1,2,1,3,2,2,21
Neutral,R,25,Black,Female,hetro,3,5,4,4,3,4,3,4,4,3,37
Stigmatizing,R,25,Black,Female,hetro,2,4,3,2,1,2,1,3,2,1,21
Neutral,R,25,Black,Female,homo,3,5,4,3,4,2,4,4,3,4,36
Stigmatizing,R,25,Black,Female,homo,2,3,3,2,2,1,2,3,1,2,21
Neutral,R,25,Hispanic,Male,hetro,3,4,4,3,4,3,4,4,3,3,35
Stigmatizing,R,25,Hispanic,Male,hetro,2,4,3,2,2,1,2,2,2,2,22
Neutral,R,25,Hispanic,Male,homo,4,5,4,3,4,2,4,4,4,3,37
Stigmatizing,R,25,Hispanic,Male,homo,2,4,3,3,4,2,2,2,1,2,25
Neutral,R,25,Hispanic,Female,hetro,3,5,4,4,4,3,3,4,4,3,37
Stigmatizing,R,25,Hispanic,Female,hetro,1,2,3,2,2,1,1,3,2,2,19
Neutral,R,25,Hispanic,Female,homo,3,5,4,4,4,3,4,4,4,3,38
Stigmatizing,R,25,Hispanic,Female,homo,2,4,3,2,2,1,2,2,2,2,22
Neutral,R,25,White,Male,hetro,3,5,5,4,4,3,2,4,3,3,36
Stigmatizing,R,25,White,Male,hetro,2,4,3,2,2,1,2,2,2,1,21
Neutral,R,25,White,Male,homo,4,5,5,4,4,3,4,4,4,4,41
Stigmatizing,R,25,White,Male,homo,2,4,3,2,2,1,2,3,2,2,23
Neutral,R,25,White,Female,hetro,3,5,4,3,4,3,4,4,3,4,37
Stigmatizing,R,25,White,Female,hetro,2,4,3,2,1,2,2,3,2,2,23
Neutral,R,25,White,Female,homo,4,5,5,3,4,2,4,3,3,4,37
Stigmatizing,R,25,White,Female,homo,2,4,3,2,2,2,1,3,2,2,23
Neutral,R,26,Asian,Male,hetro,3,5,4,3,3,3,4,4,3,4,36
Stigmatizing,R,26,Asian,Male,hetro,1,2,3,2,2,2,2,3,2,2,21
Neutral,R,26,Asian,Male,homo,3,4,4,4,3,4,4,4,3,4,37
Stigmatizing,R,26,Asian,Male,homo,1,2,2,2,2,1,2,3,2,2,19
Neutral,R,26,Asian,Female,hetro,4,5,5,4,3,4,4,4,4,4,41
Stigmatizing,R,26,Asian,Female,hetro,2,4,3,2,1,2,2,3,1,2,22
Neutral,R,26,Asian,Female,homo,4,5,5,4,4,3,4,4,4,4,41
Stigmatizing,R,26,Asian,Female,homo,2,3,3,2,3,2,2,3,2,2,24
Neutral,R,26,Black,Male,hetro,3,5,5,4,4,3,4,4,4,3,39
Stigmatizing,R,26,Black,Male,hetro,2,4,3,2,2,2,1,3,2,2,23
Neutral,R,26,Black,Male,homo,3,5,4,4,4,3,4,4,3,4,38
Stigmatizing,R,26,Black,Male,homo,1,2,3,2,2,1,1,3,2,2,19
Neutral,R,26,Black,Female,hetro,4,5,5,3,4,2,2,4,3,3,35
Stigmatizing,R,26,Black,Female,hetro,2,4,3,3,4,2,3,3,2,2,28
Neutral,R,26,Black,Female,homo,3,4,5,3,4,3,4,4,4,4,38
Stigmatizing,R,26,Black,Female,homo,1,2,3,2,2,1,3,4,2,2,22
Neutral,R,26,Hispanic,Male,hetro,3,5,4,4,4,3,3,4,4,4,38
Stigmatizing,R,26,Hispanic,Male,hetro,2,4,3,2,2,2,2,3,2,2,24
Neutral,R,26,Hispanic,Male,homo,3,5,4,3,4,4,3,4,4,3,37
Stigmatizing,R,26,Hispanic,Male,homo,2,4,3,3,2,1,2,3,2,2,24
Neutral,R,26,Hispanic,Female,hetro,3,5,4,3,4,2,3,4,4,4,36
Stigmatizing,R,26,Hispanic,Female,hetro,2,4,3,2,2,1,1,2,2,2,21
Neutral,R,26,Hispanic,Female,homo,4,5,5,3,4,2,4,4,4,4,39
Stigmatizing,R,26,Hispanic,Female,homo,2,4,3,2,2,2,1,2,2,1,21
Neutral,R,26,White,Male,hetro,3,5,4,4,4,4,4,4,4,4,40
Stigmatizing,R,26,White,Male,hetro,2,4,3,3,3,2,2,3,2,2,26
Neutral,R,26,White,Male,homo,4,5,5,3,2,3,4,4,3,4,37
Stigmatizing,R,26,White,Male,homo,1,2,2,3,4,2,2,2,2,2,22
Neutral,R,26,White,Female,hetro,3,5,4,3,4,2,4,4,3,4,36
Stigmatizing,R,26,White,Female,hetro,1,3,2,2,2,1,1,3,2,2,19
Neutral,R,26,White,Female,homo,2,5,4,4,3,3,3,4,4,4,36
Stigmatizing,R,26,White,Female,homo,2,4,3,2,2,1,2,2,2,2,22
Neutral,R,27,Asian,Male,hetro,3,4,4,4,4,3,3,4,3,4,36
Stigmatizing,R,27,Asian,Male,hetro,2,4,3,3,4,2,1,2,2,1,24
Neutral,R,27,Asian,Male,homo,4,5,5,3,2,3,3,4,4,3,36
Stigmatizing,R,27,Asian,Male,homo,2,4,3,3,4,2,1,2,2,1,24
Neutral,R,27,Asian,Female,hetro,3,5,4,4,4,4,4,4,4,4,40
Stigmatizing,R,27,Asian,Female,hetro,2,3,3,2,2,2,2,2,1,2,21
Neutral,R,27,Asian,Female,homo,4,5,5,4,3,4,2,4,4,3,38
Stigmatizing,R,27,Asian,Female,homo,2,4,3,3,2,1,2,2,1,2,22
Neutral,R,27,Black,Male,hetro,2,3,4,3,4,3,4,4,3,4,34
Stigmatizing,R,27,Black,Male,hetro,2,3,3,4,4,2,3,3,2,2,28
Neutral,R,27,Black,Male,homo,3,4,4,4,4,3,4,4,4,4,38
Stigmatizing,R,27,Black,Male,homo,2,4,3,2,2,2,1,2,2,1,21
Neutral,R,27,Black,Female,hetro,2,5,4,4,4,3,4,4,4,4,38
Stigmatizing,R,27,Black,Female,hetro,2,4,3,2,2,1,2,3,1,2,22
Neutral,R,27,Black,Female,homo,4,5,5,2,2,3,4,5,4,4,38
Stigmatizing,R,27,Black,Female,homo,2,3,3,3,4,2,2,3,2,2,26
Neutral,R,27,Hispanic,Male,hetro,3,5,4,3,4,3,4,4,3,3,36
Stigmatizing,R,27,Hispanic,Male,hetro,1,2,2,2,1,2,2,3,2,2,19
Neutral,R,27,Hispanic,Male,homo,3,5,5,4,4,3,4,4,4,4,40
Stigmatizing,R,27,Hispanic,Male,homo,2,4,3,3,4,2,1,2,2,1,24
Neutral,R,27,Hispanic,Female,hetro,3,5,4,3,4,2,4,3,4,4,36
Stigmatizing,R,27,Hispanic,Female,hetro,1,2,2,3,2,1,2,3,2,2,20
Neutral,R,27,Hispanic,Female,homo,3,4,4,2,4,2,4,4,4,4,35
Stigmatizing,R,27,Hispanic,Female,homo,2,4,3,2,2,1,2,3,2,2,23
Neutral,R,27,White,Male,hetro,3,4,4,4,4,3,4,4,3,3,36
Stigmatizing,R,27,White,Male,hetro,1,3,2,3,1,1,2,3,2,2,20
Neutral,R,27,White,Male,homo,3,4,4,4,4,3,4,4,4,4,38
Stigmatizing,R,27,White,Male,homo,1,2,2,2,2,1,2,3,2,2,19
Neutral,R,27,White,Female,hetro,3,5,4,4,3,4,2,4,4,3,36
Stigmatizing,R,27,White,Female,hetro,1,2,2,1,1,2,1,2,2,2,16
Neutral,R,27,White,Female,homo,4,5,5,3,3,3,4,5,3,4,39
Stigmatizing,R,27,White,Female,homo,2,4,3,3,2,1,2,3,2,2,24
Neutral,R,28,Asian,Male,hetro,4,5,5,4,4,3,4,4,3,4,40
Stigmatizing,R,28,Asian,Male,hetro,2,4,3,2,2,1,2,3,2,2,23
Neutral,R,28,Asian,Male,homo,3,5,4,4,4,3,4,4,3,4,38
Stigmatizing,R,28,Asian,Male,homo,2,4,3,2,2,2,1,3,2,2,23
Neutral,R,28,Asian,Female,hetro,3,5,4,4,4,3,2,3,4,3,35
Stigmatizing,R,28,Asian,Female,hetro,2,4,3,3,4,2,1,2,2,2,25
Neutral,R,28,Asian,Female,homo,4,5,5,4,4,3,4,3,3,3,38
Stigmatizing,R,28,Asian,Female,homo,2,4,3,2,2,1,2,2,1,2,21
Neutral,R,28,Black,Male,hetro,3,4,5,3,4,3,4,4,3,4,37
Stigmatizing,R,28,Black,Male,hetro,1,2,2,2,3,2,2,3,2,2,21
Neutral,R,28,Black,Male,homo,3,4,4,3,4,3,4,4,3,4,36
Stigmatizing,R,28,Black,Male,homo,2,4,3,2,2,1,1,3,2,2,22
Neutral,R,28,Black,Female,hetro,3,5,4,3,4,3,4,4,4,3,37
Stigmatizing,R,28,Black,Female,hetro,2,3,3,3,2,1,3,2,2,2,23
Neutral,R,28,Black,Female,homo,3,4,4,4,4,3,4,4,3,4,37
Stigmatizing,R,28,Black,Female,homo,2,4,3,3,4,2,2,3,3,2,28
Neutral,R,28,Hispanic,Male,hetro,3,5,4,4,4,3,4,5,5,4,41
Stigmatizing,R,28,Hispanic,Male,hetro,2,4,3,2,2,2,1,3,2,2,23
Neutral,R,28,Hispanic,Male,homo,4,5,5,3,4,2,4,3,3,4,37
Stigmatizing,R,28,Hispanic,Male,homo,2,4,3,2,2,2,2,3,2,2,24
Neutral,R,28,Hispanic,Female,hetro,3,5,4,4,4,3,4,4,3,4,38
Stigmatizing,R,28,Hispanic,Female,hetro,2,4,3,3,2,1,2,3,2,2,24
Neutral,R,28,Hispanic,Female,homo,4,5,5,4,4,3,5,4,4,4,42
Stigmatizing,R,28,Hispanic,Female,homo,2,3,3,2,2,2,1,2,2,1,20
Neutral,R,28,White,Male,hetro,3,5,5,4,3,4,4,4,4,4,40
Stigmatizing,R,28,White,Male,hetro,2,4,3,2,1,2,2,2,1,2,21
Neutral,R,28,White,Male,homo,3,4,4,3,4,2,3,4,4,3,34
Stigmatizing,R,28,White,Male,homo,2,4,3,2,1,2,2,2,1,2,21
Neutral,R,28,White,Female,hetro,3,4,5,4,4,3,5,4,4,4,40
Stigmatizing,R,28,White,Female,hetro,2,4,3,4,2,1,2,2,1,2,23
Neutral,R,28,White,Female,homo,4,5,4,4,4,3,5,5,4,3,41
Stigmatizing,R,28,White,Female,homo,2,4,3,2,2,1,1,2,2,1,20
Neutral,R,29,Asian,Male,hetro,3,5,4,4,3,4,3,4,4,4,38
Stigmatizing,R,29,Asian,Male,hetro,1,2,2,3,2,1,2,3,2,2,20
Neutral,R,29,Asian,Male,homo,3,4,4,3,4,3,4,4,3,4,36
Stigmatizing,R,29,Asian,Male,homo,1,2,2,3,4,2,2,3,3,2,24
Neutral,R,29,Asian,Female,hetro,3,4,5,4,4,3,3,4,4,4,38
Stigmatizing,R,29,Asian,Female,hetro,1,2,2,2,2,2,2,2,2,2,19
Neutral,R,29,Asian,Female,homo,3,5,4,4,4,3,4,4,3,3,37
Stigmatizing,R,29,Asian,Female,homo,2,4,3,2,1,2,1,2,2,2,21
Neutral,R,29,Black,Male,hetro,2,5,4,4,4,3,4,4,3,3,36
Stigmatizing,R,29,Black,Male,hetro,1,2,2,2,2,2,1,3,2,2,19
Neutral,R,29,Black,Male,homo,3,5,4,4,4,3,4,4,4,4,39
Stigmatizing,R,29,Black,Male,homo,2,4,3,2,1,2,2,3,2,2,23
Neutral,R,29,Black,Female,hetro,4,5,5,2,5,3,4,3,4,4,39
Stigmatizing,R,29,Black,Female,hetro,2,4,3,2,2,1,2,3,2,2,23
Neutral,R,29,Black,Female,homo,3,5,4,4,4,3,4,4,4,5,40
Stigmatizing,R,29,Black,Female,homo,2,4,3,2,2,1,2,3,2,2,23
Neutral,R,29,Hispanic,Male,hetro,3,5,4,4,4,3,4,4,4,4,39
Stigmatizing,R,29,Hispanic,Male,hetro,1,2,3,2,2,1,2,3,2,2,20
Neutral,R,29,Hispanic,Male,homo,3,5,4,4,4,3,4,3,3,3,36
Stigmatizing,R,29,Hispanic,Male,homo,2,3,3,2,2,2,2,2,2,2,22
Neutral,R,29,Hispanic,Female,hetro,3,5,4,3,4,3,4,4,3,4,37
Stigmatizing,R,29,Hispanic,Female,hetro,2,4,3,3,2,1,1,2,2,2,22
Neutral,R,29,Hispanic,Female,homo,3,4,5,3,4,3,3,4,4,3,36
Stigmatizing,R,29,Hispanic,Female,homo,2,4,3,2,2,2,1,3,2,2,23
Neutral,R,29,White,Male,hetro,3,4,4,3,4,2,3,4,3,3,33
Stigmatizing,R,29,White,Male,hetro,1,2,2,2,1,2,1,2,2,1,16
Neutral,R,29,White,Male,homo,3,4,4,4,4,3,4,4,3,4,37
Stigmatizing,R,29,White,Male,homo,1,2,2,2,1,2,2,2,2,1,17
Neutral,R,29,White,Female,hetro,4,5,4,4,3,4,4,4,3,3,38
Stigmatizing,R,29,White,Female,hetro,1,2,2,2,2,1,1,2,2,2,17
Neutral,R,29,White,Female,homo,4,5,5,3,4,3,4,4,3,3,38
Stigmatizing,R,29,White,Female,homo,2,4,3,2,1,2,2,3,2,2,23
Neutral,R,30,Asian,Male,hetro,4,5,5,3,4,3,4,4,3,4,39
Stigmatizing,R,30,Asian,Male,hetro,2,4,3,3,2,1,1,2,2,1,21
Neutral,R,30,Asian,Male,homo,3,5,4,4,3,4,5,4,3,4,39
Stigmatizing,R,30,Asian,Male,homo,2,4,3,2,2,2,1,3,2,1,22
Neutral,R,30,Asian,Female,hetro,3,5,4,3,4,3,3,4,4,4,37
Stigmatizing,R,30,Asian,Female,hetro,2,4,3,2,2,1,1,3,2,2,22
Neutral,R,30,Asian,Female,homo,3,4,5,2,2,3,4,4,4,4,35
Stigmatizing,R,30,Asian,Female,homo,2,3,3,2,2,2,2,3,2,2,23
Neutral,R,30,Black,Male,hetro,3,5,5,4,4,3,4,4,4,4,40
Stigmatizing,R,30,Black,Male,hetro,2,5,4,3,2,1,1,2,3,2,25
Neutral,R,30,Black,Male,homo,3,5,4,3,4,2,4,4,3,4,36
Stigmatizing,R,30,Black,Male,homo,2,4,3,2,1,2,3,3,2,2,24
Neutral,R,30,Black,Female,hetro,3,4,5,4,4,3,2,4,3,3,35
Stigmatizing,R,30,Black,Female,hetro,2,4,3,2,2,1,2,3,2,2,23
Neutral,R,30,Black,Female,homo,3,4,5,2,4,3,3,4,4,4,36
Stigmatizing,R,30,Black,Female,homo,1,2,3,2,2,1,1,2,2,1,17
Neutral,R,30,Hispanic,Male,hetro,3,5,4,4,4,3,4,4,3,3,37
Stigmatizing,R,30,Hispanic,Male,hetro,2,4,3,3,4,2,2,3,2,2,27
Neutral,R,30,Hispanic,Male,homo,3,4,4,3,2,4,4,4,4,4,36
Stigmatizing,R,30,Hispanic,Male,homo,2,4,3,2,1,2,1,2,2,1,20
Neutral,R,30,Hispanic,Female,hetro,3,4,4,4,5,3,4,4,3,3,37
Stigmatizing,R,30,Hispanic,Female,hetro,2,4,3,2,1,2,2,3,2,2,23
Neutral,R,30,Hispanic,Female,homo,4,5,5,3,4,3,3,4,4,4,39
Stigmatizing,R,30,Hispanic,Female,homo,2,4,3,2,2,1,1,3,2,2,22
Neutral,R,30,White,Male,hetro,3,5,4,4,4,3,4,4,3,4,38
Stigmatizing,R,30,White,Male,hetro,2,4,3,3,2,1,1,2,2,2,22
Neutral,R,30,White,Male,homo,2,5,4,2,3,3,3,4,4,3,33
Stigmatizing,R,30,White,Male,homo,2,4,3,3,4,2,1,2,2,2,25
Neutral,R,30,White,Female,hetro,4,5,5,4,4,3,4,5,3,4,41
Stigmatizing,R,30,White,Female,hetro,1,2,2,2,2,1,2,3,2,2,19
Neutral,R,30,White,Female,homo,3,4,4,4,4,3,4,4,3,4,37
Stigmatizing,R,30,White,Female,homo,2,4,3,3,2,1,2,3,2,2,24
Neutral,R,31,Asian,Male,hetro,3,4,4,4,3,4,4,3,4,4,37
Stigmatizing,R,31,Asian,Male,hetro,2,4,3,4,4,5,2,3,2,2,31
Neutral,R,31,Asian,Male,homo,3,4,4,2,3,2,4,3,4,4,33
Stigmatizing,R,31,Asian,Male,homo,2,4,3,2,2,1,1,3,2,2,22
Neutral,R,31,Asian,Female,hetro,3,5,4,3,4,3,4,4,4,4,38
Stigmatizing,R,31,Asian,Female,hetro,1,3,2,3,2,1,1,3,2,1,19
Neutral,R,31,Asian,Female,homo,4,5,5,4,3,4,4,4,5,4,42
Stigmatizing,R,31,Asian,Female,homo,1,2,2,2,4,3,1,2,2,2,21
Neutral,R,31,Black,Male,hetro,3,4,5,4,4,3,3,4,4,3,37
Stigmatizing,R,31,Black,Male,hetro,2,4,3,2,2,1,2,3,2,2,23
Neutral,R,31,Black,Male,homo,2,5,4,3,4,2,4,4,3,3,34
