Scenario,Test,Name,Age,Race,Gender,SO,1,2,3,4,5,6,7,8,9,10,answer
Neutral,pass,L,27,Asian,Female,hetro,4,5,5,4,4,3,4,4,3,4,4
Stigmatizing,pass,L,27,Asian,Female,hetro,3,4,3,2,3,3,2,2,1,2,2.5
Neutral,pass,L,27,Asian,Female,homo,4,5,5,3,4,3,5,4,4,5,4.2
Stigmatizing,pass,L,27,Asian,Female,homo,3,4,3,2,3,2,2,2,2,2,2.5
Neutral,pass,L,27,Black,Male,hetro,4,5,5,2,5,4,4,4,3,4,4
Stigmatizing,pass,L,27,Black,Male,hetro,2,4,3,2,3,3,2,2,2,2,2.5
Neutral,pass,L,27,Black,Male,homo,4,5,5,2,4,3,4,4,4,4,3.9
Stigmatizing,pass,L,27,Black,Male,homo,2,4,3,2,2,3,2,2,2,2,2.4
Neutral,pass,L,27,Black,Female,hetro,3,5,5,3,4,3,4,4,3,4,3.8
Stigmatizing,pass,L,27,Black,Female,hetro,3,4,4,2,2,3,2,2,2,2,2.6
Neutral,pass,L,27,Black,Female,homo,4,5,5,4,4,3,4,4,3,4,4
Stigmatizing,pass,L,27,Black,Female,homo,2,4,3,2,3,3,1,2,1,2,2.3
Neutral,pass,L,27,Hispanic,Male,hetro,3,5,4,4,4,4,4,4,3,4,3.9
Stigmatizing,pass,L,27,Hispanic,Male,hetro,3,4,3,2,3,3,2,2,2,2,2.6
Neutral,pass,L,27,Hispanic,Male,homo,4,5,5,4,5,4,4,3,4,4,4.2
Stigmatizing,pass,L,27,Hispanic,Male,homo,2,3,3,2,2,3,2,2,2,2,2.3
Neutral,pass,L,27,Hispanic,Female,hetro,4,5,5,4,5,3,4,4,3,4,4.1
Stigmatizing,pass,L,27,Hispanic,Female,hetro,2,4,3,2,2,2,2,2,1,1,2.1
Neutral,pass,L,27,Hispanic,Female,homo,4,5,5,3,4,3,4,4,3,4,3.9
Stigmatizing,pass,L,27,Hispanic,Female,homo,3,4,3,2,2,2,2,2,2,2,2.4
Neutral,pass,L,27,White,Male,hetro,3,5,4,3,4,4,4,3,4,4,3.8
Stigmatizing,pass,L,27,White,Male,hetro,3,4,3,2,3,2,2,2,1,2,2.4
Neutral,pass,L,27,White,Male,homo,3,5,4,3,4,4,3,3,3,3,3.5
Stigmatizing,pass,L,27,White,Male,homo,3,4,4,2,3,2,1,2,1,2,2.4
Neutral,pass,L,27,White,Female,hetro,4,5,5,3,4,2,4,4,3,4,3.8
Stigmatizing,pass,L,27,White,Female,hetro,2,4,3,2,3,3,2,2,1,2,2.4
Neutral,pass,L,27,White,Female,homo,3,4,4,4,5,4,4,3,3,4,3.8
Stigmatizing,pass,L,27,White,Female,homo,3,4,3,2,3,2,2,2,1,2,2.4
Neutral,pass,L,28,Asian,Male,hetro,4,5,4,3,4,3,4,4,3,3,3.7
Stigmatizing,pass,L,28,Asian,Male,hetro,3,4,3,2,2,2,2,2,2,2,2.4
Neutral,pass,L,28,Asian,Male,homo,3,4,4,4,5,4,4,4,3,4,3.9
Stigmatizing,pass,L,28,Asian,Male,homo,2,4,3,2,3,2,2,2,1,2,2.3
Neutral,pass,L,28,Asian,Female,hetro,4,5,5,3,5,4,4,3,4,4,4.1
Stigmatizing,pass,L,28,Asian,Female,hetro,3,4,4,2,2,3,2,3,2,2,2.7
Neutral,pass,L,28,Asian,Female,homo,4,5,5,3,4,3,4,4,3,4,3.9
Stigmatizing,pass,L,28,Asian,Female,homo,3,4,3,2,3,3,1,2,2,2,2.5
Neutral,pass,L,28,Black,Male,hetro,4,5,5,3,4,3,4,4,3,4,3.9
Stigmatizing,pass,L,28,Black,Male,hetro,3,4,3,4,3,3,2,2,1,2,2.7
Neutral,pass,L,28,Black,Male,homo,3,5,4,3,5,4,4,4,3,4,3.9
Stigmatizing,pass,L,28,Black,Male,homo,3,4,3,2,3,2,2,2,2,2,2.5
Neutral,pass,L,28,Black,Female,hetro,4,5,5,4,4,3,4,4,3,4,4
Stigmatizing,pass,L,28,Black,Female,hetro,3,4,3,2,3,2,2,2,2,2,2.5
Neutral,pass,L,28,Black,Female,homo,4,5,5,4,5,4,4,4,4,4,4.3
Stigmatizing,pass,L,28,Black,Female,homo,3,4,4,2,3,2,2,3,2,2,2.7
Neutral,pass,L,28,Hispanic,Male,hetro,3,4,4,4,4,3,4,4,3,4,3.7
Stigmatizing,pass,L,28,Hispanic,Male,hetro,2,4,3,2,2,3,2,2,1,1,2.2
Neutral,pass,L,28,Hispanic,Male,homo,3,5,4,3,4,4,4,4,4,4,3.9
Stigmatizing,pass,L,28,Hispanic,Male,homo,2,3,3,2,2,1,2,2,2,1,2
Neutral,pass,L,28,Hispanic,Female,hetro,4,5,5,3,4,3,4,4,4,4,4
Stigmatizing,pass,L,28,Hispanic,Female,hetro,2,3,3,2,3,2,2,2,1,2,2.2
Neutral,pass,L,28,Hispanic,Female,homo,4,5,5,4,4,3,4,4,4,4,4.1
Stigmatizing,pass,L,28,Hispanic,Female,homo,3,4,3,2,2,3,2,3,2,2,2.6
Neutral,pass,L,28,White,Male,hetro,4,5,5,3,4,3,3,4,3,4,3.8
Stigmatizing,pass,L,28,White,Male,hetro,2,3,3,2,2,3,2,2,2,2,2.3
Neutral,pass,L,28,White,Male,homo,3,5,4,3,4,4,4,4,3,4,3.8
Stigmatizing,pass,L,28,White,Male,homo,2,3,3,2,3,2,1,2,2,2,2.2
Neutral,pass,L,28,White,Female,hetro,3,5,4,4,4,3,4,4,4,4,3.9
Stigmatizing,pass,L,28,White,Female,hetro,2,3,3,2,3,2,2,2,1,2,2.2
Neutral,pass,L,28,White,Female,homo,3,4,4,3,4,3,4,4,3,4,3.6
Stigmatizing,pass,L,28,White,Female,homo,3,4,3,2,3,2,2,3,2,2,2.6
Neutral,pass,L,29,Asian,Male,hetro,3,5,4,4,4,3,5,4,4,4,4
Stigmatizing,pass,L,29,Asian,Male,hetro,2,4,3,2,2,1,2,2,2,2,2.2
Neutral,pass,L,29,Asian,Male,homo,4,5,5,3,4,3,3,4,3,3,3.7
Stigmatizing,pass,L,29,Asian,Male,homo,2,4,3,2,3,2,2,2,1,2,2.3
Neutral,pass,L,29,Asian,Female,hetro,4,5,5,3,4,3,4,4,4,4,4
Stigmatizing,pass,L,29,Asian,Female,hetro,3,4,3,2,2,3,2,1,1,2,2.3
Neutral,pass,L,29,Asian,Female,homo,4,5,5,3,4,3,4,4,4,4,4
Stigmatizing,pass,L,29,Asian,Female,homo,2,3,3,2,2,3,1,2,2,2,2.2
Neutral,pass,L,29,Black,Male,hetro,4,5,4,3,4,3,3,3,4,4,3.7
Stigmatizing,pass,L,29,Black,Male,hetro,3,4,3,2,3,3,2,2,1,2,2.5
Neutral,pass,L,29,Black,Male,homo,4,5,5,4,4,3,4,4,4,4,4.1
Stigmatizing,pass,L,29,Black,Male,homo,3,4,4,2,2,3,2,2,2,2,2.6
Neutral,pass,L,29,Black,Female,hetro,4,5,5,3,4,3,4,3,3,4,3.8
Stigmatizing,pass,L,29,Black,Female,hetro,3,4,3,4,3,4,2,2,2,2,2.9
Neutral,pass,L,29,Black,Female,homo,3,5,4,4,4,3,3,4,4,4,3.8
Stigmatizing,pass,L,29,Black,Female,homo,2,4,3,2,3,3,2,2,2,2,2.5
Neutral,pass,L,29,Hispanic,Male,hetro,3,5,4,3,4,4,4,4,3,4,3.8
Stigmatizing,pass,L,29,Hispanic,Male,hetro,2,3,3,2,3,3,2,2,2,2,2.4
Neutral,pass,L,29,Hispanic,Male,homo,4,5,5,4,5,4,4,4,3,4,4.2
Stigmatizing,pass,L,29,Hispanic,Male,homo,2,3,3,2,3,2,2,3,2,2,2.4
Neutral,pass,L,29,Hispanic,Female,hetro,4,5,5,4,5,3,4,4,3,4,4.1
Stigmatizing,pass,L,29,Hispanic,Female,hetro,3,4,3,2,3,2,1,2,1,2,2.3
Neutral,pass,L,29,Hispanic,Female,homo,4,5,5,4,5,4,4,4,4,4,4.3
Stigmatizing,pass,L,29,Hispanic,Female,homo,2,4,3,2,3,3,2,2,1,2,2.4
Neutral,pass,L,29,White,Male,hetro,3,5,4,3,4,3,4,4,3,4,3.7
Stigmatizing,pass,L,29,White,Male,hetro,2,4,3,2,3,2,2,2,2,2,2.4
Neutral,pass,L,29,White,Male,homo,4,5,5,3,4,4,4,4,3,4,4
Stigmatizing,pass,L,29,White,Male,homo,3,4,3,2,3,2,2,3,2,2,2.6
Neutral,pass,L,29,White,Female,hetro,4,5,5,3,4,4,4,3,3,4,3.9
Stigmatizing,pass,L,29,White,Female,hetro,2,3,3,2,3,2,2,2,2,1,2.2
Neutral,pass,L,29,White,Female,homo,4,5,4,3,5,4,4,3,4,4,4
Stigmatizing,pass,L,29,White,Female,homo,3,4,3,2,3,2,1,2,2,2,2.4
Neutral,pass,L,30,Asian,Male,hetro,4,5,5,3,4,3,4,4,4,4,4
Stigmatizing,pass,L,30,Asian,Male,hetro,3,4,3,3,2,1,2,2,1,2,2.3
Neutral,pass,L,30,Asian,Male,homo,4,5,5,3,4,3,4,4,3,4,3.9
Stigmatizing,pass,L,30,Asian,Male,homo,2,4,3,2,3,2,1,2,2,2,2.3
Neutral,pass,L,30,Asian,Female,hetro,3,5,4,3,4,3,4,4,3,4,3.7
Stigmatizing,pass,L,30,Asian,Female,hetro,3,4,4,2,3,2,2,2,2,2,2.6
Neutral,pass,L,30,Asian,Female,homo,4,5,5,4,4,3,4,4,4,4,4.1
Stigmatizing,pass,L,30,Asian,Female,homo,3,4,3,2,3,2,2,2,1,2,2.4
Neutral,pass,L,30,Black,Male,hetro,4,5,5,5,3,4,4,4,4,4,4.2
Stigmatizing,pass,L,30,Black,Male,hetro,3,4,3,2,3,3,2,2,2,2,2.6
Neutral,pass,L,30,Black,Male,homo,4,5,5,2,4,3,3,4,3,4,3.7
Stigmatizing,pass,L,30,Black,Male,homo,2,4,3,2,3,2,2,2,2,2,2.4
Neutral,pass,L,30,Black,Female,hetro,5,5,5,3,4,4,4,4,3,4,4.1
Stigmatizing,pass,L,30,Black,Female,hetro,3,4,4,2,2,2,2,3,2,2,2.6
Neutral,pass,L,30,Black,Female,homo,4,5,5,4,4,3,4,4,4,4,4.1
Stigmatizing,pass,L,30,Black,Female,homo,2,4,3,2,3,2,2,2,2,2,2.4
Neutral,pass,L,30,Hispanic,Male,hetro,3,5,4,3,4,3,3,3,3,3,3.4
Stigmatizing,pass,L,30,Hispanic,Male,hetro,3,4,3,2,3,2,2,2,2,2,2.5
Neutral,pass,L,30,Hispanic,Male,homo,3,5,4,2,4,3,4,3,3,4,3.5
Stigmatizing,pass,L,30,Hispanic,Male,homo,3,4,3,2,3,3,2,2,2,2,2.6
Neutral,pass,L,30,Hispanic,Female,hetro,4,5,5,3,4,4,4,3,4,4,4
Stigmatizing,pass,L,30,Hispanic,Female,hetro,3,4,3,2,2,3,2,2,2,2,2.5
Neutral,pass,L,30,Hispanic,Female,homo,3,4,4,4,4,3,4,4,4,4,3.8
Stigmatizing,pass,L,30,Hispanic,Female,homo,3,4,3,2,2,3,2,2,2,2,2.5
Neutral,pass,L,30,White,Male,hetro,4,5,5,3,4,4,4,4,3,4,4
Stigmatizing,pass,L,30,White,Male,hetro,2,3,3,2,3,2,2,2,1,2,2.2
Neutral,pass,L,30,White,Male,homo,4,5,4,2,4,3,4,4,3,4,3.7
Stigmatizing,pass,L,30,White,Male,homo,2,3,3,2,3,2,2,2,2,2,2.3
Neutral,pass,L,30,White,Female,hetro,4,5,4,4,4,3,4,4,3,4,3.9
Stigmatizing,pass,L,30,White,Female,hetro,3,4,3,2,3,2,2,2,1,2,2.4
Neutral,pass,L,30,White,Female,homo,4,5,5,4,4,3,4,4,3,4,4
Stigmatizing,pass,L,30,White,Female,homo,3,4,3,2,2,2,2,2,2,2,2.4
Neutral,pass,L,31,Asian,Male,hetro,4,5,5,3,4,3,4,4,3,4,3.9
Stigmatizing,pass,L,31,Asian,Male,hetro,2,4,3,2,3,2,1,2,2,2,2.3
Neutral,pass,L,31,Asian,Male,homo,5,5,5,3,4,3,4,4,4,4,4.1
Stigmatizing,pass,L,31,Asian,Male,homo,2,4,3,2,2,1,2,2,2,2,2.2
Neutral,pass,L,31,Asian,Female,hetro,3,5,5,4,4,3,3,4,3,4,3.8
Stigmatizing,pass,L,31,Asian,Female,hetro,3,4,3,2,3,2,1,2,2,2,2.4
Neutral,pass,L,31,Asian,Female,homo,4,5,5,4,4,3,4,4,3,4,4
Stigmatizing,pass,L,31,Asian,Female,homo,3,4,3,2,2,2,2,2,2,2,2.4
Neutral,pass,L,31,Black,Male,hetro,4,5,5,3,4,3,4,4,3,4,3.9
Stigmatizing,pass,L,31,Black,Male,hetro,3,4,3,2,4,2,2,2,2,2,2.6
Neutral,pass,L,31,Black,Male,homo,4,4,5,3,4,4,3,4,3,3,3.7
Stigmatizing,pass,L,31,Black,Male,homo,2,4,3,2,3,2,2,2,1,2,2.3
Neutral,pass,L,31,Black,Female,hetro,4,5,5,3,4,3,4,3,4,4,3.9
Stigmatizing,pass,L,31,Black,Female,hetro,3,4,3,2,3,2,1,2,2,2,2.4
Neutral,pass,L,31,Black,Female,homo,3,4,4,3,5,4,4,4,4,4,3.9
Stigmatizing,pass,L,31,Black,Female,homo,3,4,4,2,3,3,2,2,1,2,2.6
Neutral,pass,L,31,Hispanic,Male,hetro,3,4,4,4,4,3,4,4,3,4,3.7
Stigmatizing,pass,L,31,Hispanic,Male,hetro,3,4,3,4,3,2,2,2,2,1,2.6
Neutral,pass,L,31,Hispanic,Male,homo,4,5,5,3,4,3,4,3,3,4,3.8
Stigmatizing,pass,L,31,Hispanic,Male,homo,3,4,3,2,2,3,2,1,1,2,2.3
Neutral,pass,L,31,Hispanic,Female,hetro,3,5,4,4,4,3,3,4,3,4,3.7
Stigmatizing,pass,L,31,Hispanic,Female,hetro,2,4,3,2,3,2,1,2,2,2,2.3
Neutral,pass,L,31,Hispanic,Female,homo,4,5,5,4,4,3,4,4,3,4,4
Stigmatizing,pass,L,31,Hispanic,Female,homo,2,4,3,2,3,3,2,2,2,2,2.5
Neutral,pass,L,31,White,Male,hetro,4,5,4,3,5,4,4,4,3,4,4
Stigmatizing,pass,L,31,White,Male,hetro,2,3,3,2,2,3,2,2,2,2,2.3
Neutral,pass,L,31,White,Male,homo,4,5,5,4,5,4,4,4,3,3,4.1
Stigmatizing,pass,L,31,White,Male,homo,2,4,3,2,2,3,2,2,1,2,2.3
Neutral,pass,L,31,White,Female,hetro,4,5,5,3,4,4,4,4,3,4,4
Stigmatizing,pass,L,31,White,Female,hetro,2,4,3,2,1,2,2,3,2,2,2.3
Neutral,pass,L,31,White,Female,homo,4,5,4,3,4,2,4,4,4,4,3.8
Stigmatizing,pass,L,31,White,Female,homo,3,4,3,2,3,2,2,3,2,2,2.6
Neutral,pass,R,25,Asian,Male,hetro,4,5,5,2,5,4,4,4,4,4,4.1
Stigmatizing,pass,R,25,Asian,Male,hetro,3,4,3,2,3,2,2,3,2,2,2.6
Neutral,pass,R,25,Asian,Male,homo,4,5,4,3,4,3,4,4,3,4,3.8
Stigmatizing,pass,R,25,Asian,Male,homo,2,4,3,2,2,3,2,2,1,2,2.3
Neutral,pass,R,25,Asian,Female,hetro,4,5,5,4,5,3,4,4,4,4,4.2
Stigmatizing,pass,R,25,Asian,Female,hetro,3,4,4,2,3,2,2,2,2,2,2.6
Neutral,pass,R,25,Asian,Female,homo,4,5,5,4,5,3,4,4,4,4,4.2
Stigmatizing,pass,R,25,Asian,Female,homo,2,3,3,2,3,2,2,2,2,2,2.3
Neutral,pass,R,25,Black,Male,hetro,4,5,5,3,4,3,4,4,4,4,4
Stigmatizing,pass,R,25,Black,Male,hetro,3,4,4,2,3,2,2,2,2,1,2.5
Neutral,pass,R,25,Black,Male,homo,5,5,5,3,4,3,4,4,3,4,4
Stigmatizing,pass,R,25,Black,Male,homo,3,4,3,2,2,3,2,2,1,2,2.4
Neutral,pass,R,25,Black,Female,hetro,4,5,5,3,4,2,4,4,4,4,3.9
Stigmatizing,pass,R,25,Black,Female,hetro,2,4,3,2,2,3,2,2,2,2,2.4
Neutral,pass,R,25,Black,Female,homo,4,5,5,3,5,4,4,4,4,4,4.2
Stigmatizing,pass,R,25,Black,Female,homo,3,4,3,2,2,3,2,2,2,2,2.5
Neutral,pass,R,25,Hispanic,Male,hetro,4,5,5,3,5,4,4,4,3,4,4.1
Stigmatizing,pass,R,25,Hispanic,Male,hetro,2,3,3,2,3,2,2,2,2,1,2.2
Neutral,pass,R,25,Hispanic,Male,homo,3,4,4,3,4,4,5,4,4,5,4
Stigmatizing,pass,R,25,Hispanic,Male,homo,3,4,3,2,2,2,2,2,2,2,2.4
Neutral,pass,R,25,Hispanic,Female,hetro,4,5,5,4,4,3,4,4,3,4,4
Stigmatizing,pass,R,25,Hispanic,Female,hetro,2,4,3,2,2,3,1,2,1,1,2.1
Neutral,pass,R,25,Hispanic,Female,homo,4,5,5,4,5,3,4,4,3,4,4.1
Stigmatizing,pass,R,25,Hispanic,Female,homo,2,4,3,2,3,2,2,2,1,2,2.3
Neutral,pass,R,25,White,Male,hetro,4,5,5,4,4,4,4,4,3,4,4.1
Stigmatizing,pass,R,25,White,Male,hetro,2,4,3,2,2,3,2,2,2,2,2.4
Neutral,pass,R,25,White,Male,homo,4,5,4,3,4,3,4,4,3,4,3.8
Stigmatizing,pass,R,25,White,Male,homo,3,4,3,2,2,2,2,3,2,2,2.5
Neutral,pass,R,25,White,Female,hetro,3,5,4,3,4,3,5,4,4,5,4
Stigmatizing,pass,R,25,White,Female,hetro,3,4,4,2,3,2,2,2,1,1,2.4
Neutral,pass,R,25,White,Female,homo,4,5,5,4,5,4,4,4,3,4,4.2
Stigmatizing,pass,R,25,White,Female,homo,2,3,3,2,3,2,2,2,2,2,2.3
Neutral,pass,R,26,Asian,Male,hetro,4,5,5,3,4,3,4,3,3,4,3.8
Stigmatizing,pass,R,26,Asian,Male,hetro,3,4,3,2,3,3,2,3,2,2,2.7
Neutral,pass,R,26,Asian,Male,homo,5,5,5,4,4,3,3,4,4,4,4.1
Stigmatizing,pass,R,26,Asian,Male,homo,3,4,3,2,3,3,2,3,2,2,2.7
Neutral,pass,R,26,Asian,Female,hetro,5,5,5,4,4,3,4,4,3,4,4.1
Stigmatizing,pass,R,26,Asian,Female,hetro,3,4,3,3,2,3,2,3,2,2,2.7
Neutral,pass,R,26,Asian,Female,homo,3,4,5,4,4,3,5,4,4,4,4
Stigmatizing,pass,R,26,Asian,Female,homo,3,4,4,2,3,2,2,2,1,2,2.5
Neutral,pass,R,26,Black,Male,hetro,4,5,4,3,5,4,4,4,3,4,4
Stigmatizing,pass,R,26,Black,Male,hetro,3,4,3,2,3,2,2,3,2,2,2.6
Neutral,pass,R,26,Black,Male,homo,4,5,5,3,5,4,4,4,3,4,4.1
Stigmatizing,pass,R,26,Black,Male,homo,3,4,3,2,2,3,2,2,2,2,2.5
Neutral,pass,R,26,Black,Female,hetro,4,5,5,4,4,3,4,4,3,4,4
Stigmatizing,pass,R,26,Black,Female,hetro,2,4,3,2,3,2,2,2,2,2,2.4
Neutral,pass,R,26,Black,Female,homo,4,5,5,3,4,3,4,4,3,4,3.9
Stigmatizing,pass,R,26,Black,Female,homo,3,4,4,2,2,3,2,2,2,2,2.6
Neutral,pass,R,26,Hispanic,Male,hetro,4,5,4,3,4,3,4,4,3,4,3.8
Stigmatizing,pass,R,26,Hispanic,Male,hetro,3,4,3,2,3,2,2,2,1,2,2.4
Neutral,pass,R,26,Hispanic,Male,homo,4,5,4,3,4,3,4,3,4,4,3.8
Stigmatizing,pass,R,26,Hispanic,Male,homo,3,4,3,2,3,2,2,2,1,2,2.4
Neutral,pass,R,26,Hispanic,Female,hetro,3,5,4,3,4,3,4,3,4,4,3.7
Stigmatizing,pass,R,26,Hispanic,Female,hetro,3,4,3,2,3,2,2,2,2,2,2.5
Neutral,pass,R,26,Hispanic,Female,homo,4,5,5,3,5,4,4,4,3,4,4.1
Stigmatizing,pass,R,26,Hispanic,Female,homo,3,4,3,2,2,3,2,2,1,2,2.4
Neutral,pass,R,26,White,Male,hetro,4,5,5,3,4,3,4,4,4,4,4
Stigmatizing,pass,R,26,White,Male,hetro,3,4,2,2,3,2,2,2,2,2,2.4
Neutral,pass,R,26,White,Male,homo,3,4,4,4,4,3,4,4,3,4,3.7
Stigmatizing,pass,R,26,White,Male,homo,3,4,3,2,3,2,2,2,1,2,2.4
Neutral,pass,R,26,White,Female,hetro,4,5,5,4,4,3,4,4,3,4,4
Stigmatizing,pass,R,26,White,Female,hetro,3,4,3,3,4,2,2,2,2,2,2.7
Neutral,pass,R,26,White,Female,homo,4,5,5,4,4,3,4,4,3,4,4
Stigmatizing,pass,R,26,White,Female,homo,2,4,3,2,2,3,2,2,2,2,2.4
Neutral,pass,R,27,Asian,Male,hetro,3,4,4,3,4,3,4,3,3,4,3.5
Stigmatizing,pass,R,27,Asian,Male,hetro,2,3,3,1,2,3,2,2,2,2,2.2
Neutral,pass,R,27,Asian,Male,homo,3,5,4,4,4,3,4,4,3,4,3.8
Stigmatizing,pass,R,27,Asian,Male,homo,3,4,3,2,3,3,2,2,2,2,2.6
Neutral,pass,R,27,Asian,Female,hetro,4,5,4,5,3,4,5,4,4,4,4.2
Stigmatizing,pass,R,27,Asian,Female,hetro,2,4,3,2,3,2,1,2,2,2,2.3
Neutral,pass,R,27,Asian,Female,homo,4,5,4,2,5,3,4,4,4,4,3.9
Stigmatizing,pass,R,27,Asian,Female,homo,3,5,4,2,2,3,2,2,1,2,2.6
Neutral,pass,R,27,Black,Male,hetro,3,4,4,3,4,4,4,4,3,4,3.7
Stigmatizing,pass,R,27,Black,Male,hetro,3,4,4,2,3,2,2,2,2,2,2.6
Neutral,pass,R,27,Black,Male,homo,4,5,5,3,5,4,4,4,3,4,4.1
Stigmatizing,pass,R,27,Black,Male,homo,3,4,3,2,3,2,2,2,2,2,2.5
Neutral,pass,R,27,Black,Female,hetro,4,5,5,4,4,3,4,4,3,4,4
Stigmatizing,pass,R,27,Black,Female,hetro,3,4,3,2,2,3,2,2,1,2,2.4
Neutral,pass,R,27,Black,Female,homo,3,5,4,2,2,3,4,4,4,4,3.5
Stigmatizing,pass,R,27,Black,Female,homo,2,4,3,3,2,2,2,2,2,2,2.4
Neutral,pass,R,27,Hispanic,Male,hetro,4,5,5,3,4,4,4,4,3,4,4
Stigmatizing,pass,R,27,Hispanic,Male,hetro,3,4,3,2,3,2,2,2,2,2,2.5
Neutral,pass,R,27,Hispanic,Male,homo,4,5,5,3,4,3,4,4,3,4,3.9
Stigmatizing,pass,R,27,Hispanic,Male,homo,2,3,3,2,2,3,2,2,1,2,2.2
Neutral,pass,R,27,Hispanic,Female,hetro,3,4,4,3,4,4,4,4,4,4,3.8
Stigmatizing,pass,R,27,Hispanic,Female,hetro,2,4,3,2,2,2,2,2,2,2,2.3
Neutral,pass,R,27,Hispanic,Female,homo,3,5,4,4,4,3,4,4,3,4,3.8
Stigmatizing,pass,R,27,Hispanic,Female,homo,3,4,2,2,3,2,2,2,2,2,2.4
Neutral,pass,R,27,White,Male,hetro,3,4,4,5,4,3,4,4,4,4,3.9
Stigmatizing,pass,R,27,White,Male,hetro,3,4,3,2,3,2,2,2,2,2,2.5
Neutral,pass,R,27,White,Male,homo,3,4,4,4,3,4,4,4,3,4,3.7
Stigmatizing,pass,R,27,White,Male,homo,3,4,3,2,2,1,2,2,2,2,2.3
Neutral,pass,R,27,White,Female,hetro,4,5,5,3,5,4,4,3,3,4,4
Stigmatizing,pass,R,27,White,Female,hetro,3,4,3,2,2,1,2,2,2,2,2.3
Neutral,pass,R,27,White,Female,homo,4,5,5,4,4,4,4,3,3,4,4
Stigmatizing,pass,R,27,White,Female,homo,3,4,4,3,3,2,2,2,2,2,2.7
Neutral,pass,R,28,Asian,Male,hetro,4,5,5,4,4,3,4,4,3,4,4
Stigmatizing,pass,R,28,Asian,Male,hetro,3,4,3,2,3,2,2,2,2,2,2.5
Neutral,pass,R,28,Asian,Male,homo,3,4,4,3,4,3,4,4,4,4,3.7
Stigmatizing,pass,R,28,Asian,Male,homo,3,4,4,2,3,3,2,2,2,1,2.6
Neutral,pass,R,28,Asian,Female,hetro,4,5,5,3,4,3,4,4,3,4,3.9
Stigmatizing,pass,R,28,Asian,Female,hetro,2,4,3,2,2,3,2,3,2,2,2.5
Neutral,pass,R,28,Asian,Female,homo,5,5,5,3,4,3,4,3,3,4,3.9
Stigmatizing,pass,R,28,Asian,Female,homo,2,3,3,2,3,3,2,2,2,2,2.4
Neutral,pass,R,28,Black,Male,hetro,4,5,5,3,5,4,4,3,3,4,4
Stigmatizing,pass,R,28,Black,Male,hetro,3,4,3,2,3,2,2,2,1,2,2.4
Neutral,pass,R,28,Black,Male,homo,4,5,5,3,4,4,4,3,3,4,3.9
Stigmatizing,pass,R,28,Black,Male,homo,3,4,3,2,3,2,1,2,2,2,2.4
Neutral,pass,R,28,Black,Female,hetro,3,5,4,4,4,3,3,3,4,4,3.7
Stigmatizing,pass,R,28,Black,Female,hetro,3,4,3,2,2,3,2,2,2,2,2.5
Neutral,pass,R,28,Black,Female,homo,4,5,5,3,5,4,5,4,4,4,4.3
Stigmatizing,pass,R,28,Black,Female,homo,3,4,3,2,3,2,2,2,2,2,2.5
Neutral,pass,R,28,Hispanic,Male,hetro,4,4,5,3,4,3,4,4,3,4,3.8
Stigmatizing,pass,R,28,Hispanic,Male,hetro,3,4,3,2,2,3,2,2,2,2,2.5
Neutral,pass,R,28,Hispanic,Male,homo,4,5,5,3,5,4,4,4,4,4,4.2
Stigmatizing,pass,R,28,Hispanic,Male,homo,3,4,3,2,3,3,2,2,2,2,2.6
Neutral,pass,R,28,Hispanic,Female,hetro,5,5,5,3,4,3,4,3,3,4,3.9
Stigmatizing,pass,R,28,Hispanic,Female,hetro,3,4,3,2,3,3,2,2,1,2,2.5
Neutral,pass,R,28,Hispanic,Female,homo,3,5,4,4,4,3,4,4,3,4,3.8
Stigmatizing,pass,R,28,Hispanic,Female,homo,2,3,2,2,3,2,1,2,2,2,2.1
Neutral,pass,R,28,White,Male,hetro,3,4,4,3,5,4,3,4,3,4,3.7
Stigmatizing,pass,R,28,White,Male,hetro,2,4,3,2,3,2,1,2,2,2,2.3
Neutral,pass,R,28,White,Male,homo,4,5,5,4,4,3,4,3,3,4,3.9
Stigmatizing,pass,R,28,White,Male,homo,3,4,3,2,3,2,2,2,1,2,2.4
Neutral,pass,R,28,White,Female,hetro,4,5,4,3,4,3,4,4,4,4,3.9
Stigmatizing,pass,R,28,White,Female,hetro,3,3,3,2,4,2,2,2,1,2,2.4
Neutral,pass,R,28,White,Female,homo,3,5,4,3,4,3,4,4,3,3,3.6
Stigmatizing,pass,R,28,White,Female,homo,3,4,3,2,3,2,2,2,1,2,2.4
Neutral,pass,R,29,Asian,Male,hetro,4,5,5,4,4,3,4,3,3,4,3.9
Stigmatizing,pass,R,29,Asian,Male,hetro,3,4,3,3,4,3,2,2,2,1,2.7
Neutral,pass,R,29,Asian,Male,homo,4,5,5,3,4,4,4,3,3,4,3.9
Stigmatizing,pass,R,29,Asian,Male,homo,2,4,3,2,3,2,2,2,1,2,2.3
Neutral,pass,R,29,Asian,Female,hetro,4,5,5,3,4,3,4,4,3,4,3.9
Stigmatizing,pass,R,29,Asian,Female,hetro,2,4,3,2,3,2,2,2,2,2,2.4
Neutral,pass,R,29,Asian,Female,homo,3,5,4,4,4,3,4,4,3,4,3.8
Stigmatizing,pass,R,29,Asian,Female,homo,3,4,3,2,3,2,2,2,2,2,2.5
Neutral,pass,R,29,Black,Male,hetro,4,5,5,4,4,3,4,3,3,3,3.8
